nome,tecnologia,outrosDetalhes,tecnologias,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Freelance React Native - Pleno ","Android Studio,iOS,TypeScript,ReactJS,React Native","Kovver App,Remoto,Startup,Pleno,PJ,Aceita candidatos de fora","['Android Studio', 'iOS', 'TypeScript', 'ReactJS', 'React Native']",Pleno,Remoto,PJ,,Android Studio,iOS,TypeScript,ReactJS,React Native,,,,,,,
"Vencida, Desenvolvedor(a) WordPress - Sênior ","CSS,HTML,JavaScript,MySQL,PHP,WordPress","WPFactory,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'WordPress']",Sênior,Remoto,PJ,12.000,CSS,HTML,JavaScript,MySQL,PHP,WordPress,,,,,,
"Vencida, Desenvolvedor(a) Java Backend - Remoto","Java,RabbitMQ,Spring","DQR Tech,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$10.000,Pleno,PJ / CLT,Não aceita candidatos de fora","['Java', 'RabbitMQ', 'Spring']",Não especificado,Não Remoto,PJ / CLT,10.000,Java,RabbitMQ,Spring,,,,,,,,,
"Vencida, Analista de Informações","Big Data,Angular,C#,PHP","RedoRH Capital Humano,Florianópolis, Santa Catarina, Brasil,Pequena/média empresa,Até R$15.000,Júnior,PJ,Não aceita candidatos de fora","['Big Data', 'Angular', 'C#', 'PHP']",Não especificado,Não Remoto,PJ,15.000,Big Data,Angular,C#,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) Flutter - Pleno","AWS RDS (Relational Database Service),AWS S3,Flutter","Dippingcode Serviços e Cursos de TI LTDA,Remoto,Pequena/média empresa,Até R$6.000,Pleno,PJ,Aceita candidatos de fora","['AWS RDS (Relational Database Service)', 'AWS S3', 'Flutter']",Pleno,Remoto,PJ,6.000,AWS RDS (Relational Database Service),AWS S3,Flutter,,,,,,,,,
"Vencida, Engenheiro(a) de Dados Pleno (Remoto)","Excel,MySQL,Python,Scikit-learn","Economapas,Remoto,Pequena/média empresa,Até R$8.000,Pleno,CLT,Aceita candidatos de fora","['Excel', 'MySQL', 'Python', 'Scikit-learn']",Pleno,Remoto,CLT,8.000,Excel,MySQL,Python,Scikit-learn,,,,,,,,
"Vencida, Desenvolvedor(a) Web - Pleno","CSS,HTML,JavaScript,MySQL,Node.js,PHP","Flipflop Lab Engenharia Elétrica e Software LTDA,São José dos Campos, São Paulo, Brasil,Pequena/média empresa,Até R$4.000,Pleno,CLT,Não aceita candidatos de fora","['CSS', 'HTML', 'JavaScript', 'MySQL', 'Node.js', 'PHP']",Pleno,Não Remoto,CLT,4.000,CSS,HTML,JavaScript,MySQL,Node.js,PHP,,,,,,
"Vencida, Desenvolvedor(a) Júnior","JavaScript,Node.js,ReactJS","Tarkuss Solucoes,Manaus, Amazonas, Brasil,Startup,Júnior,PJ,Não aceita candidatos de fora","['JavaScript', 'Node.js', 'ReactJS']",Júnior,Não Remoto,PJ,,JavaScript,Node.js,ReactJS,,,,,,,,,
"Vencida, Programador(a) .NET","ASP.NET,C#,ORACLE,.NET","RedoRH Capital Humano,Florianópolis, Santa Catarina, Brasil,Pequena/média empresa,Até R$5.000,Pleno,CLT / PJ,Não aceita candidatos de fora","['ASP.NET', 'C#', 'ORACLE', '.NET']",Não especificado,Não Remoto,CLT / PJ,5.000,ASP.NET,C#,ORACLE,.NET,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End - Sênior","Docker,Node.js,TypeScript","DomDH,Remoto,Startup,Até R$10.000,Sênior,CLT,Aceita candidatos de fora","['Docker', 'Node.js', 'TypeScript']",Sênior,Remoto,CLT,10.000,Docker,Node.js,TypeScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End - React","CSS,JavaScript,ReactJS","Worc,Remoto,Startup,Até R$15.000,Sênior,PJ,Aceita candidatos de fora","['CSS', 'JavaScript', 'ReactJS']",Não especificado,Remoto,PJ,15.000,CSS,JavaScript,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack Java / React - Sênior ","Angular,Java,ReactJS","Talent Group,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora","['Angular', 'Java', 'ReactJS']",Sênior,Remoto,PJ,12.000,Angular,Java,ReactJS,,,,,,,,,
"Vencida, Analista Programador(a)","ASP.NET Core,Azure,Bootstrap,C#,Entity framework","Mirasoft Tecnologia,São Caetano do Sul, São Paulo, Brasil,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora","['ASP.NET Core', 'Azure', 'Bootstrap', 'C#', 'Entity framework']",Não especificado,Não Remoto,PJ,7.000,ASP.NET Core,Azure,Bootstrap,C#,Entity framework,,,,,,,
"Vencida, Desenvolvedor(a) .NET ",".NET,.NET Core,Angular","IOB,Remoto,Grande empresa,Pleno,CLT,Aceita candidatos de fora","['.NET', '.NET Core', 'Angular']",Não especificado,Remoto,CLT,,.NET,.NET Core,Angular,,,,,,,,,
