nome,tecnologia,outrosDetalhes
"Vencida, Desenvolvedor(a) Pleno - .Net, Python e/ou js/node","JavaScript,Node.js,Python","Bizpoke,Remoto,Pequena/média empresa,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Pleno","Angular,ASP.NET,C#,HTML,JavaScript,MongoDB","Serget Mobilidade Viária,Remoto,Pequena/média empresa,Até R$10.000,Pleno,CLT / PJ,Aceita candidatos de fora"
"Vencida, Pessoa Dev Mobile - React Native/ Pleno - Remoto","ReactJS,React Native,Redux","YOURS BANK,Remoto,Startup,Até R$8.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Mobile React/Flutter","Flutter,React Native,SQL Server","Working Plus,Rio de Janeiro, Rio de Janeiro, Brasil,Grande empresa,Até R$3.000,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Software Developer . Net","Azure,C#,.NET","Keeptalent,Remoto,Pequena/média empresa,Até R$12.000,Pleno,CLT,Aceita candidatos de fora"
"Vencida, Dev Front-End React","CSS,Git,HTML,JavaScript,ReactJS","On The Go,Remoto,Startup,Até R$8.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Web Pleno","Java,JavaScript,.NET,SQL,Web Services,XML","EvolveIT,Campinas, São Paulo, Brasil,Pequena/média empresa,Pleno,PJ,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C# Pleno","C#,.NET,SQF,SQL Server,Testes unitários","Weservice,São Paulo, São Paulo, Brasil,Pequena/média empresa,Até R$10.000,Pleno,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) de Front-End","CSS,JavaScript,PHP,HTML","YASLIP TELEINFORMATICA LTDA,Guarulhos, São Paulo, Brasil,Pequena/média empresa,Até R$1.500,Júnior,CLT,Não aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Full Stack Sênior","NextJS,Node.js,TypeScript","BR Media Group,Remoto,Pequena/média empresa,Até R$12.000,Sênior,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) C# Fullstack Pleno - Remoto","API,ASP.NET Core,Azure,C#,Entity framework,Git","GridWeb Tecnologia,Remoto,Pequena/média empresa,Até R$7.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Pessoa Desenvolvedora Front-end (VueJS | Tailwind | TypeScript)","Git,JavaScript,TypeScript,Vue.js","Duotalk,Remoto,Startup,Até R$5.000,Pleno,PJ,Aceita candidatos de fora"
"Vencida, Desenvolvedor(a) Delphi 10","Delphi,desktop,PHP","Grupo Andrade Abreu,Campo Grande, Mato Grosso do Sul, Brasil,Pequena/média empresa,Até R$2.000,Pleno,CLT,Aceita candidatos de fora"
